source,target,value
Khan Younis,IDPs at UNRWA Shelters,160000.0
Khan Younis,IDPs at Government Shelters,23000.0
Khan Younis,IDPs at UNRWA Shelters,160000.0
Khan Younis,IDPs at Government Shelters,23000.0
Khan Younis,IDPs at UNRWA Shelters,162000.0
Khan Younis,IDPs at Government Shelters,48000.0
Khan Younis,IDPs at UNRWA Shelters,165000.0
Khan Younis,IDPs at Government Shelters,48000.0
Khan Younis,IDPs at UNRWA Shelters,165000.0
Khan Younis,IDPs at Government Shelters,49000.0
Khan Younis,IDPs at UNRWA Shelters,168000.0
Khan Younis,IDPs at Government Shelters,49000.0
Khan Younis,IDPs at UNRWA Shelters,176000.0
Khan Younis,IDPs at Government Shelters,50000.0
Khan Younis,IDPs at UNRWA Shelters,178000.0
Khan Younis,IDPs at Government Shelters,50000.0
Khan Younis,IDPs at UNRWA Shelters,184000.0
Khan Younis,IDPs at Government Shelters,50000.0
Khan Younis,IDPs at UNRWA Shelters,186000.0
Khan Younis,IDPs at Government Shelters,50000.0
Khan Younis,IDPs at UNRWA Shelters,186000.0
Khan Younis,IDPs at Government Shelters,52000.0
Khan Younis,IDPs at UNRWA Shelters,188000.0
Khan Younis,IDPs at Government Shelters,52000.0
Khan Younis,IDPs at UNRWA Shelters,189000.0
Khan Younis,IDPs at Government Shelters,52000.0
Khan Younis,IDPs at UNRWA Shelters,190000.0
Khan Younis,IDPs at Government Shelters,75000.0
Khan Younis,IDPs at UNRWA Shelters,193000.0
Khan Younis,IDPs at Government Shelters,75000.0
Khan Younis,IDPs at UNRWA Shelters,194000.0
Khan Younis,IDPs at Government Shelters,75000.0
Khan Younis,IDPs at UNRWA Shelters,196000.0
Khan Younis,IDPs at Government Shelters,75000.0
Khan Younis,IDPs at UNRWA Shelters,198000.0
Khan Younis,IDPs at Government Shelters,75000.0
Khan Younis,IDPs at UNRWA Shelters,207000.0
Khan Younis,IDPs at Government Shelters,75000.0
Khan Younis,IDPs at UNRWA Shelters,207000.0
Khan Younis,IDPs at Government Shelters,75000.0
Khan Younis,IDPs at UNRWA Shelters,208000.0
Khan Younis,IDPs at Government Shelters,75000.0
Khan Younis,IDPs at UNRWA Shelters,208000.0
Khan Younis,IDPs at Government Shelters,75000.0
Khan Younis,IDPs at UNRWA Shelters,211000.0
Khan Younis,IDPs at Government Shelters,75000.0
Khan Younis,IDPs at UNRWA Shelters,215000.0
Khan Younis,IDPs at Government Shelters,75000.0
Khan Younis,IDPs at UNRWA Shelters,215000.0
Khan Younis,IDPs at Government Shelters,75000.0
Khan Younis,IDPs at UNRWA Shelters,217000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,203000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,201000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,200000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,200000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,204000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,176000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,176000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,231000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,233000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,309000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,309000.0
Khan Younis,IDPs at Government Shelters,69000.0
Khan Younis,IDPs at UNRWA Shelters,362000.0
Khan Younis,IDPs at Government Shelters,69000.0
